INFO 2019-10-15 03:17:36,299 basehttp 124 "GET /test/ HTTP/1.1" 200 4
INFO 2019-10-15 03:22:16,622 urls 34 abcd
WARNING 2019-10-15 03:22:16,622 urls 35 119119
ERROR 2019-10-15 03:22:16,623 urls 36 error~~~~~~
INFO 2019-10-15 03:22:16,637 basehttp 124 "GET /test/ HTTP/1.1" 200 4
WARNING 2019-10-15 03:28:13,838 basehttp 124 "GET /static/index.html HTTP/1.1" 404 1643
INFO 2019-10-15 03:29:14,489 basehttp 124 "GET /static/index.html HTTP/1.1" 200 30009
WARNING 2019-10-15 03:29:14,582 basehttp 124 "GET /static/css/main.css HTTP/1.1" 404 1649
WARNING 2019-10-15 03:29:14,584 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 404 1652
WARNING 2019-10-15 03:29:14,609 basehttp 124 "GET /static/js/host.js HTTP/1.1" 404 1643
WARNING 2019-10-15 03:29:14,635 basehttp 124 "GET /static/js/common.js HTTP/1.1" 404 1649
WARNING 2019-10-15 03:29:14,646 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 404 1661
WARNING 2019-10-15 03:29:14,698 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 404 1679
WARNING 2019-10-15 03:29:14,709 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 404 1658
WARNING 2019-10-15 03:29:14,758 basehttp 124 "GET /static/js/jquery-1.12.4.min.js HTTP/1.1" 404 1682
WARNING 2019-10-15 03:29:14,775 basehttp 124 "GET /static/js/slide.js HTTP/1.1" 404 1646
WARNING 2019-10-15 03:29:14,794 basehttp 124 "GET /static/js/index.js HTTP/1.1" 404 1646
WARNING 2019-10-15 03:29:14,798 basehttp 124 "GET /static/images/slide01.jpg HTTP/1.1" 404 1667
WARNING 2019-10-15 03:29:14,809 basehttp 124 "GET /static/images/slide02.jpg HTTP/1.1" 404 1667
WARNING 2019-10-15 03:29:15,006 basehttp 124 "GET /static/images/adv01.jpg HTTP/1.1" 404 1661
WARNING 2019-10-15 03:29:15,031 basehttp 124 "GET /static/images/slide03.jpg HTTP/1.1" 404 1667
WARNING 2019-10-15 03:29:15,033 basehttp 124 "GET /static/images/slide04.jpg HTTP/1.1" 404 1667
WARNING 2019-10-15 03:29:15,091 basehttp 124 "GET /static/images/banner01.jpg HTTP/1.1" 404 1670
WARNING 2019-10-15 03:29:15,129 basehttp 124 "GET /static/images/goods/goods003.jpg HTTP/1.1" 404 1688
WARNING 2019-10-15 03:29:15,133 basehttp 124 "GET /static/images/goods/goods002.jpg HTTP/1.1" 404 1688
WARNING 2019-10-15 03:29:15,180 basehttp 124 "GET /static/images/goods/goods001.jpg HTTP/1.1" 404 1688
WARNING 2019-10-15 03:29:15,212 basehttp 124 "GET /static/images/goods/goods005.jpg HTTP/1.1" 404 1688
WARNING 2019-10-15 03:29:15,154 basehttp 124 "GET /static/images/goods/goods004.jpg HTTP/1.1" 404 1688
WARNING 2019-10-15 03:29:15,230 basehttp 124 "GET /static/images/banner02.jpg HTTP/1.1" 404 1670
WARNING 2019-10-15 03:29:15,302 basehttp 124 "GET /static/images/banner03.jpg HTTP/1.1" 404 1670
WARNING 2019-10-15 03:29:15,307 basehttp 124 "GET /static/images/goods/goods008.jpg HTTP/1.1" 404 1688
WARNING 2019-10-15 03:29:15,325 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 404 1658
WARNING 2019-10-15 03:29:15,325 basehttp 124 "GET /static/images/goods/goods009.jpg HTTP/1.1" 404 1688
INFO 2019-10-15 03:29:34,932 basehttp 124 "GET /static/login.html HTTP/1.1" 200 2676
WARNING 2019-10-15 03:29:34,966 basehttp 124 "GET /static/js/login.js HTTP/1.1" 404 1646
WARNING 2019-10-15 03:29:35,036 basehttp 124 "GET /static/js/common.js HTTP/1.1" 404 1649
WARNING 2019-10-15 03:29:35,064 basehttp 124 "GET /static/js/host.js HTTP/1.1" 404 1643
WARNING 2019-10-15 03:29:35,066 basehttp 124 "GET /static/images/logo02.png HTTP/1.1" 404 1664
WARNING 2019-10-15 03:29:35,074 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 404 1679
WARNING 2019-10-15 03:29:35,083 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 404 1652
WARNING 2019-10-15 03:29:35,100 basehttp 124 "GET /static/css/main.css HTTP/1.1" 404 1649
WARNING 2019-10-15 03:29:35,110 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 404 1661
WARNING 2019-10-15 03:29:35,179 basehttp 124 "GET /static/images/logo02.png HTTP/1.1" 404 1664
